Location,Team,Address,Latitude,Longitude
McLoughlin's Restaurant & Bar,CSU Rams,"2100 16th St. Denver, CO 80202",39.754369,-105.004702
Andy Mac's Sports Grill,CSU-Pueblo Thunderwolves,"2149 Jerry Murphy Rd, Pueblo, CO 81001",38.307118,-104.598556
Whiskey Bar,CSU Rams,"2203 Larimer St, Denver, CO 80205",39.755171,-104.990184
Whiskey Bar (2),Missouri Tigers,"2203 Larimer St, Denver, CO 80205",39.755171,-104.990184
Blake Street Tavern,Arizona State Sun Devils,"2301 Blake St, Denver, CO 80205",39.757505,-104.990614
Blake Street Tavern,Northwestern Wildcats,"2301 Blake St, Denver, CO 80205",39.757505,-104.990614
Blake Street Tavern,USC Trojans,"2301 Blake St, Denver, CO 80205",39.757505,-104.990614
Blake Street Tavern,Washington Huskies,"2301 Blake St, Denver, CO 80205",39.757505,-104.990614
Blake Street Tavern (2),Michigan State Spartans,"2301 Blake St, Denver, CO 80205",39.757505,-104.990614
Blake Street Tavern (6),CU Buffs,"2301 Blake St, Denver, CO 80205",39.757505,-104.990614
Hawley's Tavern and Grill,Nebraska Cornhuskers,"2601 W Hampden Ave, Sheridan, CO 80110",39.653541,-105.018458
Harpo's Sports Grill,LSU Tigers,"2860 Arapahoe Ave, Boulder, CO 80303",40.01425,-105.256863
Buffalo Wild Wings,CU Buffs,"2905 Geyser Dr, Colorado Springs, CO 80906",38.790813,-104.796138
Moe's Original BBQ,Georgia Bulldogs,"3295 S Broadway, Englewood, CO 80113",39.656853,-104.987929
RNR Sports Bar,CSU Rams,"35 N Uncompahgre Ave, Montrose, CO 81401",38.480643,-107.876519
Buffalo Wild Wings,CU Buffs,"404 Marshall Rd, Superior, CO 80027",39.957361,-105.170473
Bull and Bush,Nebraska Cornhuskers,"4700 E Cherry Creek S Dr, Denver, CO 80246",39.703096,-104.932413
The Elm,CU Buffs,"5001 E Colfax Ave, Denver, CO 80220",39.74035,-104.929575
BJ's Restaurant and Brewhouse,Oklahoma Sooners,"5150 North Nevada Avenue Colorado Springs, CO 80918",38.903486,-104.817861
Paramount Cafe,Nebraska Cornhuskers,"519 16th St, Denver, CO 80202",39.74416,-104.990656
Irish Hound,Alabama Crimson Tide,"575 St Paul St, Denver, CO 80206",39.72527,-104.951339
Fuzzy's Taco Shop,CSU Rams,"5760 Olde Wadsworth Blvd, Arvada, CO 80002",39.801395,-105.080979
C.B. & Potts (7),CSU Rams,"6575 Greenwood Plaza Blvd, Englewood, CO 80111",39.597317,-104.895765
Old Chicago,Nebraska Cornhuskers,"6676 S Parker Rd, Aurora, CO 80016",39.595422,-104.800466
Govnr's Park Tavern,CSU Rams,"672 Logan St, Denver, CO 80203",39.726947,-104.981946
Govnr's Park Tavern,Illinois Fighting Illini,"672 Logan St, Denver, CO 80203",39.726947,-104.981946
Tap House Sports Grill,CU Buffs,"729 Lincoln Ave, Steamboat Springs, CO 80487",40.485647,-106.834416
Dam Grill,CU Buffs,"8000 E Quincy Ave, Denver, CO 80237",39.63748,-104.896129
Hurricane Grill & Wings,Florida Gators,"8025 W Bowles Ave, Littleton, CO 80123",39.610113,-105.086538
Buffalo Wild Wings,CU Buffs,"8350 West 80th Avenue Arvada, CO 80005",39.841187,-105.090612
The Fainting Goat,CSU Rams,"846 Broadway St, Denver, CO 80203",39.729966,-104.987022
Kentucky Inn,CSU Rams,"890 S Pearl St, Denver, CO 80209",39.700387,-104.980295
O'Furry's Sports Bar & Grill,CU Buffs,"900 E Fillmore St, Colorado Springs, CO 80907",38.874629,-104.808319
Park Tavern,Pittsburgh Panthers,"931 E 11th Ave, Denver, CO 80218",39.733846,-104.975543
JD's Bait Shop Sports Grill,CU Buffs,"9555 E Arapahoe Rd, Greenwood Village, CO 80112",39.595531,-104.877844
Spot Bar & Grill,CSU Rams,"98 S Pennsylvania St, Denver, CO 80209",39.714854,-104.981212
